name,namefr,type1,type1fr,type2/none,type2fr/none,generation,index,description,descriptionfr,image(link),hasMegaEvolution,weight(in kg),legendary,fabulous,size(in meter),biomes(where we can found it),evolution-stade,color,isMaxEvolution,hasBeenInAshTeam,hasGenderDifference,isFormSwitchable,baseHappiness,captureRate
metapod,Chrysacier,bug,Insecte,none,none,1,11,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",Son corps frêle est protégé par sa carapace d’acier. Il encaisse les coups durs en attendant d’évoluer.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,False,9.9,False,False,0.7,N/A,2,green,False,False,False,False,70,120
butterfree,Papilusion,bug,Insecte,flying,Vol,1,12,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",Il raffole du nectar des fleurs. Il est capable de repérer la plus petite quantité de pollen.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,False,32.0,False,False,1.1,N/A,3,white,True,False,True,False,70,45
weedle,Aspicot,bug,Insecte,poison,Poison,1,13,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",Il mange chaque jour son poids en feuilles. Il utilise l’aiguillon sur sa tête pour repousser l’ennemi.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,False,3.2,False,False,0.3,N/A,1,brown,False,False,False,False,70,255
kakuna,Coconfort,bug,Insecte,poison,Poison,1,14,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",Il se cache sous les feuilles et les branches pour fuir les prédateurs en attendant d’évoluer.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,False,10.0,False,False,0.6,N/A,2,yellow,False,False,False,False,70,120
beedrill,Dardargnan,bug,Insecte,poison,Poison,1,15,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Il virevolte rapidement autour de l’ennemi et frappe de son dard empoisonné avant de décamper.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,True,29.5,False,False,1.0,N/A,3,yellow,True,False,False,True,70,45
pidgey,Roucool,normal,Normal,flying,Vol,1,16,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,"Ce Pokémon docile préfère éviter le combat. Toutefois, il se montre très féroce quand on l’agresse.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,False,1.8,False,False,0.3,N/A,1,brown,False,False,False,False,70,255
pidgeotto,Roucoups,normal,Normal,flying,Vol,1,17,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",Il survole son vaste territoire en quête d’une proie avant de fondre sur elle toutes griffes en avant.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,False,30.0,False,False,1.1,N/A,2,brown,False,False,False,False,70,120
pidgeot,Roucarnage,normal,Normal,flying,Vol,1,18,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.","En battant des ailes de toutes ses forces, Roucarnage génère une rafale à en déraciner les arbres.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,True,39.5,False,False,1.5,N/A,3,brown,True,False,False,True,70,45
rattata,Rattata,normal,Normal,none,none,1,19,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.","D’une prudence extrême, sa nature robuste lui permet de s’adapter à tous les terrains.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,False,3.5,False,False,0.3,N/A,1,purple,False,False,True,False,70,255
raticate,Rattatac,normal,Normal,none,none,1,20,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,Ses pattes arrière lui permettent de traverser les rivières. Il est toujours en quête de nourriture.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,False,18.5,False,False,0.7,N/A,2,brown,True,False,True,False,70,127
spearow,Piafabec,normal,Normal,flying,Vol,1,21,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",Il fait battre vigoureusement ses petites ailes pour voler et cherche à manger dans l’herbe avec le bec.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,False,2.0,False,False,0.3,N/A,1,brown,False,False,False,False,70,255
fearow,Rapasdepic,normal,Normal,flying,Vol,1,22,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",Il a assez d’énergie pour voler toute la journée avec ses grandes ailes. Il frappe de son bec acéré.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,False,38.0,False,False,1.2,N/A,2,brown,True,False,False,False,70,90
ekans,Abo,poison,Poison,none,none,1,23,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",Il se faufile dans l’herbe sans un bruit et frappe dans le dos quand sa proie s’y attend le moins.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,False,6.9,False,False,2.0,N/A,1,purple,False,False,False,False,70,255
arbok,Arbok,poison,Poison,none,none,1,24,It is rumored that the ferocious warning markings on its belly differ from area to area.,Il utilise la marque sur son ventre pour intimider l’ennemi. Il étouffe l’ennemi pétrifié par la peur.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,False,65.0,False,False,3.5,N/A,2,purple,True,False,False,False,70,90
pikachu,Pikachu,electric,Électrik,none,none,1,25,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,False,6.0,False,False,0.4,N/A,2,yellow,False,False,True,False,70,190
raichu,Raichu,electric,Électrik,none,none,1,26,Its long tail serves as a ground to protect itself from its own high-voltage power.,Il se protège des décharges grâce à sa queue qui dissipe l’électricité dans le sol.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,False,30.0,False,False,0.8,N/A,3,yellow,True,False,True,False,70,75
sandshrew,Sabelette,ground,Sol,none,none,1,27,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,Il vit sur des terres arides épargnées par la pluie. Il se roule en boule pour se protéger.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,False,12.0,False,False,0.6,N/A,1,yellow,False,False,False,False,70,255
sandslash,Sablaireau,ground,Sol,none,none,1,28,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,Il se met en boule pour percuter l’ennemi. Ses épines aiguisées font beaucoup de dégâts.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,False,29.5,False,False,1.0,N/A,2,yellow,True,False,False,False,70,90
nidoran-f,Nidoran♀,poison,Poison,none,none,1,29,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.","Bien qu’il rechigne à se battre, une goutte du poison sécrété par ses piquants peut s’avérer fatale.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,False,7.0,False,False,0.4,N/A,1,blue,False,False,False,False,70,235
nidorina,Nidorina,poison,Poison,none,none,1,30,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,Ce Pokémon dresse ses piquants en cas de danger. Ils poussent moins vite que ceux de Nidorino.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,False,20.0,False,False,0.8,N/A,2,blue,False,False,False,False,70,120
nidoqueen,Nidoqueen,poison,Poison,ground,Sol,1,31,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,Son corps est recouvert d’écailles solides. Il donnera sa vie pour secourir les petits de son terrier.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,False,60.0,False,False,1.3,N/A,3,blue,True,False,False,False,70,45
nidoran-m,Nidoran♂,poison,Poison,none,none,1,32,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",Il jauge le terrain en laissant ses oreilles dépasser de l’herbe. Il se défend avec sa corne toxique.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,False,9.0,False,False,0.5,N/A,1,purple,False,False,False,False,70,235
nidorino,Nidorino,poison,Poison,none,none,1,33,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,"D’un tempérament violent, il empale l’ennemi sur sa corne qui distille un poison puissant.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,False,19.5,False,False,0.9,N/A,2,purple,False,False,False,False,70,120
nidoking,Nidoking,poison,Poison,ground,Sol,1,34,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",Un coup de sa puissante queue peut briser un poteau téléphonique comme une allumette.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,False,62.0,False,False,1.4,N/A,3,purple,True,False,False,False,70,45
clefairy,Mélofée,fairy,Fée,none,none,1,35,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,On dit que ceux qui voient danser un groupe de Mélofée sous la pleine lune connaîtront un grand bonheur.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,False,7.5,False,False,0.6,N/A,2,pink,False,False,False,False,140,150
clefable,Mélodelfe,fairy,Fée,none,none,1,36,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,"Il est très farouche et se laisse rarement approcher. De plus, il détecte les sons à plus d’1 km.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,False,40.0,False,False,1.3,N/A,3,pink,True,False,False,False,140,25
vulpix,Goupix,fire,Feu,none,none,1,37,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.","Il envoie des boules de feu. Avec l’âge, ses six queues en forment de nouvelles.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,False,9.9,False,False,0.6,N/A,1,brown,False,False,False,False,70,190
ninetales,Feunard,fire,Feu,none,none,1,38,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,On raconte que ses neuf queues détiennent un pouvoir mystique. Il peut vivre pendant mille ans.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,False,19.9,False,False,1.1,N/A,2,yellow,True,False,False,False,70,75
jigglypuff,Rondoudou,normal,Normal,fairy,Fée,1,39,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.","Lorsqu’il roule ses grands yeux ronds, il entonne une berceuse qui endort son auditoire.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,False,5.5,False,False,0.5,N/A,2,pink,False,False,False,False,70,170
wigglytuff,Grodoudou,normal,Normal,fairy,Fée,1,40,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",Sa fourrure est d’une douceur incomparable au toucher. Il  peut gonfler en aspirant de l’air.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,False,12.0,False,False,1.0,N/A,3,pink,True,False,False,False,70,50
zubat,Nosferapti,poison,Poison,flying,Vol,1,41,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,"Dépourvu d’yeux, il se repère dans l’espace grâce aux ultrasons qu’il émet avec sa bouche.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,False,7.5,False,False,0.8,N/A,1,purple,False,False,True,False,70,255
golbat,Nosferalto,poison,Poison,flying,Vol,1,42,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",Ses crocs acérés et creux peuvent pénétrer la plus épaisse des peaux et sucer le sang de la victime.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,False,55.0,False,False,1.6,N/A,2,purple,False,False,True,False,70,90
oddish,Mystherbe,grass,Plante,poison,Poison,1,43,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.","En journée, il plante ses pieds-racines dans le sol. La nuit, il se promène en semant des graines.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,False,5.4,False,False,0.5,N/A,1,blue,False,False,False,False,70,255
gloom,Ortide,grass,Plante,poison,Poison,1,44,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,L’odeur du nectar de sa bouche est si répugnante qu’elle agresse les narines à deux kilomètres.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,False,8.6,False,False,0.8,N/A,2,blue,False,False,True,False,70,120
vileplume,Rafflesia,grass,Plante,poison,Poison,1,45,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",Ses pétales sont les plus grands du monde. Il marche en répandant un pollen extrêmement allergène.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,False,18.6,False,False,1.2,N/A,3,red,True,False,True,False,70,45
paras,Paras,bug,Insecte,grass,Plante,1,46,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,Des champignons appelés “tochukaso” poussent sur son dos. Ils évoluent avec le Paras hôte.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,False,5.4,False,False,0.3,N/A,1,red,False,False,False,False,70,190
parasect,Parasect,bug,Insecte,grass,Plante,1,47,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,Un champignon parasite plus gros que Parasect contrôle son corps. Il répand des spores empoisonnées.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,False,29.5,False,False,1.0,N/A,2,red,True,False,False,False,70,75
venonat,Mimitoss,bug,Insecte,poison,Poison,1,48,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,"Ses grands yeux sont en fait des amas d’yeux minuscules. La nuit, il est attiré par la lumière.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,False,30.0,False,False,1.0,N/A,1,purple,False,False,False,False,70,190
venomoth,Aéromite,bug,Insecte,poison,Poison,1,49,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,Il répand ses écailles poudreuses en battant des ailes. Elles sont toxiques au toucher.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,False,12.5,False,False,1.5,N/A,2,purple,True,False,False,False,70,75
diglett,Taupiqueur,ground,Sol,none,none,1,50,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,"Un Pokémon qui vit sous terre. Habitué aux souterrains, il fuit la lumière du jour.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,False,0.8,False,False,0.2,N/A,1,brown,False,False,False,False,70,255
dugtrio,Triopikeur,ground,Sol,none,none,1,51,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,Ses trois têtes creusent le sol à tour de rôle. Il peut atteindre des profondeurs de 100 kilomètres.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,False,33.3,False,False,0.7,N/A,2,brown,True,False,False,False,70,50
meowth,Miaouss,normal,Normal,none,none,1,52,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,Son regard s’anime à la vue d’un objet brillant. C’est un Pokémon nocturne.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,False,4.2,False,False,0.4,N/A,1,yellow,False,False,False,False,70,255
persian,Persian,normal,Normal,none,none,1,53,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",Un Pokémon très snob. La taille du joyau qui orne son front alimente bien des débats parmi ses fans.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,False,32.0,False,False,1.0,N/A,2,yellow,True,False,False,False,70,90
psyduck,Psykokwak,water,Eau,none,none,1,54,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",Ses pouvoirs déconcertants et mystérieux lui font subir de constantes migraines.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,False,19.6,False,False,0.8,N/A,1,yellow,False,False,False,False,70,190
golduck,Akwakwak,water,Eau,none,none,1,55,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",Ses membres palmés et son corps parfaitement adapté font de lui un nageur exceptionnel.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,False,76.6,False,False,1.7,N/A,2,blue,True,False,False,False,70,75
mankey,Férosinge,fighting,Combat,none,none,1,56,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,"Ils vivent en colonies sylvestres. Quand un Férosinge s’énerve, toute la colonie suit son exemple.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,False,28.0,False,False,0.5,N/A,1,brown,False,False,False,False,70,190
primeape,Colossinge,fighting,Combat,none,none,1,57,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,"Il grogne quand on le toise, rugit quand on s’enfuit et devient fou de rage quand on le frappe.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,False,32.0,False,False,1.0,N/A,2,brown,False,False,False,False,70,75
growlithe,Caninos,fire,Feu,none,none,1,58,Very protective of its territory. It will bark and bite to repel intruders from its space.,Un Pokémon très loyal. Il restera immobile jusqu’à ce que son Dresseur lui donne un ordre.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,False,19.0,False,False,0.7,N/A,1,brown,False,False,False,False,70,190
arcanine,Arcanin,fire,Feu,none,none,1,59,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,Son port altier et son attitude fière ont depuis longtemps conquis le cœur des hommes.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,False,155.0,False,False,1.9,N/A,2,brown,True,False,False,False,70,75
poliwag,Ptitard,water,Eau,none,none,1,60,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,Sa peau est si mince qu’on voit ses organes internes. Il tient à peine sur ses nouveaux pieds.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,False,12.4,False,False,0.6,N/A,1,blue,False,False,False,False,70,255
poliwhirl,Têtarte,water,Eau,none,none,1,61,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",La spirale qui orne son ventre ondule doucement. Celui qui la fixe est saisi d’une étrange torpeur.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,False,20.0,False,False,1.0,N/A,2,blue,False,False,False,False,70,120
poliwrath,Tartard,water,Eau,fighting,Combat,1,62,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,Il possède de sacrés biscoteaux. Il peut parcourir sans relâche l’Océan Pacifique.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,False,54.0,False,False,1.3,N/A,3,blue,True,False,False,False,70,45
abra,Abra,psychic,Psy,none,none,1,63,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",L’utilisation de ses pouvoirs mentaux le fatigue tellement qu’il dort 18 heures par jour.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,False,19.5,False,False,0.9,N/A,1,brown,False,False,False,False,70,200
kadabra,Kadabra,psychic,Psy,none,none,1,64,It emits special alpha waves from its body that induce headaches just by being close by.,Il fixe sa cuillère d’argent afin de concentrer son esprit et d’émettre un maximum d’ondes alpha.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,False,56.5,False,False,1.3,N/A,2,brown,False,False,True,False,70,100
alakazam,Alakazam,psychic,Psy,none,none,1,65,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",On dit que les cuillères qu’il tient en permanence ont été créées par la puissance de son esprit.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,True,48.0,False,False,1.5,N/A,3,brown,True,False,True,True,70,50
machop,Machoc,fighting,Combat,none,none,1,66,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,"Malgré sa petite taille, sa force lui permet de soulever plusieurs Racaillou à la fois.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,False,19.5,False,False,0.8,N/A,1,gray,False,False,False,False,70,180
machoke,Machopeur,fighting,Combat,none,none,1,67,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",Il soulève les plus lourdes charges avec plaisir et facilité. Il donne un coup de main tout en s’entraînant!,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,False,70.5,False,False,1.5,N/A,2,gray,False,False,False,False,70,90
machamp,Mackogneur,fighting,Combat,none,none,1,68,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",La puissance et la rapidité de ses quatre bras puissants font des ravages sur ses adversaires.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,False,130.0,False,False,1.6,N/A,3,gray,True,False,False,False,70,45
bellsprout,Chétiflor,grass,Plante,poison,Poison,1,69,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,Il préfère les climats chauds et humides. Ses lianes peuvent capturer une proie en un clin d’œil.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,False,4.0,False,False,0.7,N/A,1,green,False,False,False,False,70,255
weepinbell,Boustiflor,grass,Plante,poison,Poison,1,70,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,Un Pokémon végétal. Il capture les proies étourdies en les endormant à l’aide d’une poudre toxique.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,False,6.4,False,False,1.0,N/A,2,green,False,False,False,False,70,120
victreebel,Empiflor,grass,Plante,poison,Poison,1,71,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.","Sa bouche sécrète un fluide à l’odeur de miel, qui s’avère être un acide extrêmement corrosif.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,False,15.5,False,False,1.7,N/A,3,green,True,False,False,False,70,45
tentacool,Tentacool,water,Eau,poison,Poison,1,72,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,"Presque entièrement composé d’eau, son corps a tendance à se dessécher sur la terre ferme.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,False,45.5,False,False,0.9,N/A,1,blue,False,False,False,False,70,190
tentacruel,Tentacruel,water,Eau,poison,Poison,1,73,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",Ses 80 tentacules lui permettent d’emprisonner ses adversaires dans un redoutable filet venimeux.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,False,55.0,False,False,1.6,N/A,2,blue,True,False,False,False,70,60
geodude,Racaillou,rock,Roche,ground,Sol,1,74,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.","Au repos, rien ne le distingue d’un vulgaire caillou. Malheur à ceux qui lui marchent dessus par mégarde!",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,False,20.0,False,False,0.4,N/A,1,brown,False,False,False,False,70,255
graveler,Gravalanch,rock,Roche,ground,Sol,1,75,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,"Il dévale les montagnes pour se déplacer. Une fois qu’il a pris tout son élan, dur dur de l’arrêter!",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,False,105.0,False,False,1.0,N/A,2,brown,False,False,False,False,70,120
golem,Grolem,rock,Roche,ground,Sol,1,76,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,Aucun explosif ne pourrait entamer sa carapace de pierre. Il mue une fois par an.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,False,300.0,False,False,1.4,N/A,3,brown,True,False,False,False,70,45
ponyta,Ponyta,fire,Feu,none,none,1,77,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,"Chancelantes à la naissance, ses pattes deviennent très vite sûres et solides à force de galoper.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,False,30.0,False,False,1.0,N/A,1,yellow,False,False,False,False,70,190
